id,text,subject,length,complexity,demand,price,keywords
294,stoichiometry titration problem,chemistry,3,2.71,2.08,204.46,"stoichiometry,titration,problem"
295,optics refraction question detailed explanation detailed explanation,physics,7,2.98,1.53,205.33,"optics,refraction,question,detailed,explanation"
296,algebra equation solving,math,3,1.93,2.37,160.04,"algebra,equation,solving"
297,dynamic programming example show steps,cs,5,3.36,1.1,224.46,"dynamic,programming,example,show,steps"
298,geometry theorems proof solve step by step solve step by step,math,11,2.5,1.43,188.79,"geometry,theorems,proof,solve,step"
299,organic reaction mechanism detailed explanation solve step by step,chemistry,9,2.34,0.94,166.47,"organic,reaction,mechanism,detailed,explanation,solve,step"
300,electric circuits problem detailed explanation solve step by step,physics,9,2.61,2.33,220.25,"electric,circuits,problem,detailed,explanation,solve,step"
301,optics refraction question show steps detailed explanation,physics,7,0.75,1.39,103.38,"optics,refraction,question,show,steps,detailed,explanation"
302,linear algebra matrix,math,3,0.69,1.6,92.61,"linear,algebra,matrix"
303,optics refraction question detailed explanation,physics,5,1.83,1.86,163.04,"optics,refraction,question,detailed,explanation"
304,graph theory shortest path with example explain,cs,7,0.9,1.33,106.88,"graph,theory,shortest,path,with,example,explain"
305,sorting algorithm explanation explain solve step by step,cs,8,0.51,0.94,71.76,"sorting,algorithm,explanation,explain,solve,step"
306,sorting algorithm explanation explain detailed explanation,cs,6,3.3,0.64,218.48,"sorting,algorithm,explanation,explain,detailed"
307,geometry theorems proof explain,math,4,0.91,1.78,113.69,"geometry,theorems,proof,explain"
308,sorting algorithm explanation with example,cs,5,3.25,1.25,209.1,"sorting,algorithm,explanation,with,example"
309,thermodynamics law application,physics,3,1.04,1.57,109.98,"thermodynamics,law,application"
310,mechanics motion problem,physics,3,3.44,1.43,230.98,"mechanics,motion,problem"
311,data structures stack queue detailed explanation,cs,6,1.24,1.19,113.31,"data,structures,stack,queue,detailed,explanation"
312,calculus integral problem with example show steps,math,7,3.15,0.53,196.22,"calculus,integral,problem,with,example,show,steps"
313,linear algebra matrix,math,3,1.84,1.84,162.24,"linear,algebra,matrix"
314,mechanics motion problem with example,physics,5,2.12,2.01,181.72,"mechanics,motion,problem,with,example"
315,quantum basics question solve step by step,physics,7,3.25,1.65,231.05,"quantum,basics,question,solve,step"
316,stoichiometry titration problem detailed explanation,chemistry,5,3.46,1.54,232.07,"stoichiometry,titration,problem,detailed,explanation"
317,organic reaction mechanism detailed explanation detailed explanation,chemistry,7,3.23,1.75,229.04,"organic,reaction,mechanism,detailed,explanation"
318,graph theory shortest path detailed explanation,cs,6,2.51,2.07,195.27,"graph,theory,shortest,path,detailed,explanation"
319,recursion tree problem,cs,3,1.4,0.87,114.16,"recursion,tree,problem"
320,optics refraction question detailed explanation,physics,5,0.93,1.43,96.25,"optics,refraction,question,detailed,explanation"
321,recursion tree problem with example solve step by step,cs,9,1.26,1.16,115.78,"recursion,tree,problem,with,example,solve,step"
322,sorting algorithm explanation,cs,3,2.11,2.16,165.73,"sorting,algorithm,explanation"
323,data structures stack queue explain explain,cs,6,2.91,1.68,214.53,"data,structures,stack,queue,explain"
324,electric circuits problem,physics,3,3.11,1.17,214.04,"electric,circuits,problem"
325,algebra equation solving,math,3,3.39,0.73,220.09,"algebra,equation,solving"
326,dynamic programming example show steps solve step by step,cs,9,3.25,1.6,238.01,"dynamic,programming,example,show,steps,solve,step"
327,recursion tree problem show steps solve step by step,cs,9,1.58,2.27,161.72,"recursion,tree,problem,show,steps,solve,step"
328,sorting algorithm explanation,cs,3,1.61,1.33,134.35,"sorting,algorithm,explanation"
329,optics refraction question,physics,3,1.28,2.37,138.98,"optics,refraction,question"
330,sorting algorithm explanation,cs,3,1.09,0.96,101.1,"sorting,algorithm,explanation"
331,electric circuits problem show steps show steps,physics,7,1.27,2.14,149.63,"electric,circuits,problem,show,steps"
332,recursion tree problem,cs,3,2.7,1.2,177.8,"recursion,tree,problem"
333,dynamic programming example detailed explanation detailed explanation,cs,7,2.07,2.18,172.59,"dynamic,programming,example,detailed,explanation"
334,calculus integral problem explain,math,4,2.39,0.64,153.32,"calculus,integral,problem,explain"
335,quantum basics question solve step by step,physics,7,2.35,1.83,190.43,"quantum,basics,question,solve,step"
336,recursion tree problem,cs,3,0.52,1.6,74.24,"recursion,tree,problem"
337,acid base titration explain,chemistry,4,2.94,1.85,218.12,"acid,base,titration,explain"
338,mechanics motion problem,physics,3,2.07,0.98,151.5,"mechanics,motion,problem"
339,chemical bonding explanation show steps,chemistry,5,0.74,2.42,114.58,"chemical,bonding,explanation,show,steps"
340,optics refraction question show steps,physics,5,3.04,1.81,225.36,"optics,refraction,question,show,steps"
341,calculus integral problem solve step by step,math,7,2.16,0.61,144.39,"calculus,integral,problem,solve,step"
342,mechanics motion problem detailed explanation,physics,5,2.43,1.16,184.25,"mechanics,motion,problem,detailed,explanation"
343,linear algebra matrix,math,3,1.19,2.3,135.35,"linear,algebra,matrix"
344,sorting algorithm explanation,cs,3,3.27,1.87,222.51,"sorting,algorithm,explanation"
345,algebra equation solving explain,math,4,1.12,0.79,106.21,"algebra,equation,solving,explain"
346,graph theory shortest path explain,cs,5,1.22,2.17,132.18,"graph,theory,shortest,path,explain"
347,periodic trends question explain detailed explanation,chemistry,6,2.67,1.5,204.99,"periodic,trends,question,explain,detailed,explanation"
348,calculus integral problem solve step by step,math,7,0.73,1.71,106.98,"calculus,integral,problem,solve,step"
349,sorting algorithm explanation,cs,3,2.4,2.07,186.41,"sorting,algorithm,explanation"
350,thermodynamics law application detailed explanation with example,physics,7,2.54,1.82,189.11,"thermodynamics,law,application,detailed,explanation,with,example"
351,stoichiometry titration problem explain solve step by step,chemistry,8,1.64,2.07,152.49,"stoichiometry,titration,problem,explain,solve,step"
352,sorting algorithm explanation explain,cs,4,0.52,1.12,73.6,"sorting,algorithm,explanation,explain"
353,organic reaction mechanism,chemistry,3,0.76,1.36,92.34,"organic,reaction,mechanism"
354,graph theory shortest path,cs,4,0.77,1.61,100.64,"graph,theory,shortest,path"
355,periodic trends question,chemistry,3,1.38,1.28,112.29,"periodic,trends,question"
356,quantum basics question explain solve step by step,physics,8,0.92,1.1,103.86,"quantum,basics,question,explain,solve,step"
357,algebra equation solving solve step by step,math,7,1.4,2.07,142.62,"algebra,equation,solving,solve,step"
358,electric circuits problem show steps with example,physics,7,0.91,0.51,87.61,"electric,circuits,problem,show,steps,with,example"
359,sorting algorithm explanation solve step by step,cs,7,2.95,2.22,235.38,"sorting,algorithm,explanation,solve,step"
360,thermodynamics law application show steps,physics,5,2.59,1.46,182.25,"thermodynamics,law,application,show,steps"
361,sorting algorithm explanation show steps,cs,5,2.4,2.44,204.44,"sorting,algorithm,explanation,show,steps"
362,periodic trends question detailed explanation,chemistry,5,1.68,0.73,129.88,"periodic,trends,question,detailed,explanation"
363,quantum basics question,physics,3,3.36,1.42,226.57,"quantum,basics,question"
364,sorting algorithm explanation explain detailed explanation,cs,6,2.89,1.85,206.28,"sorting,algorithm,explanation,explain,detailed"
365,stoichiometry titration problem show steps,chemistry,5,2.65,2.08,195.58,"stoichiometry,titration,problem,show,steps"
366,data structures stack queue with example,cs,6,3.27,2.24,238.67,"data,structures,stack,queue,with,example"
367,geometry theorems proof detailed explanation with example,math,7,2.41,0.67,173.28,"geometry,theorems,proof,detailed,explanation,with,example"
368,stoichiometry titration problem show steps with example,chemistry,7,2.44,1.79,201.14,"stoichiometry,titration,problem,show,steps,with,example"
369,periodic trends question,chemistry,3,0.53,1.02,73.11,"periodic,trends,question"
370,electric circuits problem solve step by step,physics,7,2.82,1.68,208.61,"electric,circuits,problem,solve,step"
371,organic reaction mechanism explain,chemistry,4,1.75,2.42,156.22,"organic,reaction,mechanism,explain"
372,thermodynamics law application solve step by step,physics,7,2.85,1.54,204.27,"thermodynamics,law,application,solve,step"
373,differential equations solve show steps solve step by step,math,9,1.4,2.12,142.7,"differential,equations,solve,show,steps,step"
374,organic reaction mechanism detailed explanation detailed explanation,chemistry,7,2.72,1.53,201.64,"organic,reaction,mechanism,detailed,explanation"
375,acid base titration detailed explanation,chemistry,5,1.2,1.31,109.89,"acid,base,titration,detailed,explanation"
376,recursion tree problem,cs,3,2.71,2.27,205.89,"recursion,tree,problem"
377,recursion tree problem,cs,3,2.61,0.91,179.75,"recursion,tree,problem"
378,linear algebra matrix,math,3,2.9,1.57,199.72,"linear,algebra,matrix"
379,electric circuits problem,physics,3,1.29,2.23,135.65,"electric,circuits,problem"
380,acid base titration show steps,chemistry,5,2.26,1.2,173.91,"acid,base,titration,show,steps"
381,thermodynamics law application with example show steps,physics,7,1.44,0.98,117.94,"thermodynamics,law,application,with,example,show,steps"
382,stoichiometry titration problem solve step by step with example,chemistry,9,2.22,1.35,175.73,"stoichiometry,titration,problem,solve,step,with,example"
383,quantum basics question,physics,3,1.97,0.78,136.39,"quantum,basics,question"
384,data structures stack queue,cs,4,3.1,2.4,230.69,"data,structures,stack,queue"
385,electric circuits problem with example with example,physics,7,2.55,1.33,194.9,"electric,circuits,problem,with,example"
386,dynamic programming example,cs,3,2.2,2.09,172.21,"dynamic,programming,example"
387,geometry theorems proof,math,3,2.11,0.84,147.45,"geometry,theorems,proof"
388,data structures stack queue explain explain,cs,6,2.83,2.15,213.84,"data,structures,stack,queue,explain"
389,differential equations solve solve step by step with example,math,9,2.71,1.81,204.65,"differential,equations,solve,step,with,example"
390,differential equations solve solve step by step,math,7,2.95,1.38,218.98,"differential,equations,solve,step"
391,optics refraction question with example solve step by step,physics,9,2.63,1.77,198.22,"optics,refraction,question,with,example,solve,step"
392,optics refraction question,physics,3,2.92,1.64,205.45,"optics,refraction,question"
393,thermodynamics law application solve step by step with example,physics,9,3.36,1.53,244.6,"thermodynamics,law,application,solve,step,with,example"
394,algebra equation solving detailed explanation,math,5,3.48,2.23,241.14,"algebra,equation,solving,detailed,explanation"
395,optics refraction question,physics,3,2.63,2.16,205.93,"optics,refraction,question"
396,recursion tree problem,cs,3,2.23,1.04,156.58,"recursion,tree,problem"
397,graph theory shortest path show steps show steps,cs,8,1.71,2.0,165.39,"graph,theory,shortest,path,show,steps"
398,periodic trends question solve step by step,chemistry,7,0.51,2.05,105.15,"periodic,trends,question,solve,step"
399,sorting algorithm explanation,cs,3,2.89,1.3,205.86,"sorting,algorithm,explanation"
400,electric circuits problem solve step by step,physics,7,1.35,1.59,125.91,"electric,circuits,problem,solve,step"
401,sorting algorithm explanation show steps explain,cs,6,2.38,2.17,184.73,"sorting,algorithm,explanation,show,steps,explain"
402,electric circuits problem explain,physics,4,3.37,0.9,218.27,"electric,circuits,problem,explain"
403,thermodynamics law application,physics,3,3.12,2.25,218.87,"thermodynamics,law,application"
404,chemical bonding explanation,chemistry,3,1.62,2.31,146.51,"chemical,bonding,explanation"
405,sorting algorithm explanation show steps solve step by step,cs,9,2.47,1.91,189.72,"sorting,algorithm,explanation,show,steps,solve,step"
406,graph theory shortest path,cs,4,2.28,1.54,171.7,"graph,theory,shortest,path"
407,geometry theorems proof,math,3,3.46,1.34,218.44,"geometry,theorems,proof"
408,algebra equation solving explain,math,4,2.92,0.71,185.55,"algebra,equation,solving,explain"
409,stoichiometry titration problem show steps,chemistry,5,2.76,0.77,193.26,"stoichiometry,titration,problem,show,steps"
410,mechanics motion problem with example show steps,physics,7,0.99,1.2,101.76,"mechanics,motion,problem,with,example,show,steps"
411,electric circuits problem show steps detailed explanation,physics,7,0.76,0.7,91.05,"electric,circuits,problem,show,steps,detailed,explanation"
412,sorting algorithm explanation solve step by step,cs,7,0.92,1.05,92.68,"sorting,algorithm,explanation,solve,step"
413,organic reaction mechanism detailed explanation solve step by step,chemistry,9,2.32,0.88,169.44,"organic,reaction,mechanism,detailed,explanation,solve,step"
414,algebra equation solving solve step by step,math,7,1.22,1.78,122.02,"algebra,equation,solving,solve,step"
415,geometry theorems proof explain,math,4,3.08,1.64,212.11,"geometry,theorems,proof,explain"
416,electric circuits problem,physics,3,0.55,0.64,61.54,"electric,circuits,problem"
417,calculus integral problem with example,math,5,2.39,1.5,177.81,"calculus,integral,problem,with,example"
418,graph theory shortest path with example show steps,cs,8,1.33,1.12,125.13,"graph,theory,shortest,path,with,example,show,steps"
419,optics refraction question solve step by step with example,physics,9,2.79,1.8,216.36,"optics,refraction,question,solve,step,with,example"
420,periodic trends question detailed explanation solve step by step,chemistry,9,1.23,2.35,138.82,"periodic,trends,question,detailed,explanation,solve,step"
421,geometry theorems proof show steps show steps,math,7,0.86,1.92,119.43,"geometry,theorems,proof,show,steps"
422,electric circuits problem with example,physics,5,2.85,1.94,204.64,"electric,circuits,problem,with,example"
423,thermodynamics law application detailed explanation show steps,physics,7,0.59,2.11,101.14,"thermodynamics,law,application,detailed,explanation,show,steps"
424,geometry theorems proof detailed explanation show steps,math,7,1.99,1.52,155.01,"geometry,theorems,proof,detailed,explanation,show,steps"
425,thermodynamics law application,physics,3,1.27,0.71,105.18,"thermodynamics,law,application"
426,algebra equation solving with example explain,math,6,3.09,0.99,205.74,"algebra,equation,solving,with,example,explain"
427,dynamic programming example,cs,3,3.29,2.21,235.76,"dynamic,programming,example"
428,dynamic programming example solve step by step,cs,7,3.25,1.14,225.82,"dynamic,programming,example,solve,step"
429,organic reaction mechanism show steps explain,chemistry,6,1.17,1.53,112.02,"organic,reaction,mechanism,show,steps,explain"
430,graph theory shortest path detailed explanation,cs,6,2.82,1.12,187.13,"graph,theory,shortest,path,detailed,explanation"
431,graph theory shortest path solve step by step,cs,8,2.19,1.11,170.15,"graph,theory,shortest,path,solve,step"
432,sorting algorithm explanation detailed explanation detailed explanation,cs,7,2.83,1.96,215.63,"sorting,algorithm,explanation,detailed"
433,optics refraction question,physics,3,3.3,0.55,202.83,"optics,refraction,question"
434,geometry theorems proof,math,3,2.78,1.25,194.76,"geometry,theorems,proof"
435,organic reaction mechanism,chemistry,3,2.09,0.98,149.94,"organic,reaction,mechanism"
436,algebra equation solving solve step by step explain,math,8,1.19,2.19,137.56,"algebra,equation,solving,solve,step,explain"
437,periodic trends question explain explain,chemistry,5,0.9,2.14,109.3,"periodic,trends,question,explain"
438,differential equations solve detailed explanation solve step by step,math,9,1.28,1.13,130.62,"differential,equations,solve,detailed,explanation,step"
439,chemical bonding explanation solve step by step,chemistry,7,0.72,0.91,93.8,"chemical,bonding,explanation,solve,step"
440,algebra equation solving,math,3,0.99,1.43,102.23,"algebra,equation,solving"
441,stoichiometry titration problem solve step by step,chemistry,7,1.3,0.74,106.95,"stoichiometry,titration,problem,solve,step"
442,acid base titration,chemistry,3,1.15,2.21,120.67,"acid,base,titration"
443,thermodynamics law application with example,physics,5,2.53,1.02,186.71,"thermodynamics,law,application,with,example"
444,differential equations solve with example,math,5,2.15,0.69,143.34,"differential,equations,solve,with,example"
445,mechanics motion problem,physics,3,0.69,2.06,96.15,"mechanics,motion,problem"
446,electric circuits problem show steps,physics,5,3.31,0.67,210.62,"electric,circuits,problem,show,steps"
447,calculus integral problem,math,3,1.09,1.79,122.49,"calculus,integral,problem"
448,geometry theorems proof,math,3,0.63,1.42,79.26,"geometry,theorems,proof"
449,recursion tree problem explain,cs,4,2.55,0.85,166.79,"recursion,tree,problem,explain"
450,thermodynamics law application with example,physics,5,0.95,1.73,114.44,"thermodynamics,law,application,with,example"
451,periodic trends question detailed explanation,chemistry,5,1.94,0.68,138.26,"periodic,trends,question,detailed,explanation"
452,dynamic programming example detailed explanation with example,cs,7,2.39,2.1,201.4,"dynamic,programming,example,detailed,explanation,with"
453,sorting algorithm explanation with example,cs,5,1.95,2.33,174.15,"sorting,algorithm,explanation,with,example"
454,sorting algorithm explanation,cs,3,0.58,1.69,79.39,"sorting,algorithm,explanation"
455,organic reaction mechanism with example,chemistry,5,2.8,2.5,229.48,"organic,reaction,mechanism,with,example"
456,algebra equation solving solve step by step with example,math,9,2.87,1.97,226.18,"algebra,equation,solving,solve,step,with,example"
457,quantum basics question solve step by step,physics,7,3.02,2.19,222.32,"quantum,basics,question,solve,step"
458,chemical bonding explanation explain show steps,chemistry,6,3.34,1.63,232.86,"chemical,bonding,explanation,explain,show,steps"
459,electric circuits problem solve step by step with example,physics,9,0.77,0.97,90.28,"electric,circuits,problem,solve,step,with,example"
460,graph theory shortest path detailed explanation,cs,6,1.1,0.76,106.54,"graph,theory,shortest,path,detailed,explanation"
461,organic reaction mechanism,chemistry,3,0.94,1.91,104.03,"organic,reaction,mechanism"
462,linear algebra matrix detailed explanation,math,5,1.62,2.38,156.51,"linear,algebra,matrix,detailed,explanation"
463,geometry theorems proof solve step by step,math,7,3.43,1.96,243.44,"geometry,theorems,proof,solve,step"
464,sorting algorithm explanation,cs,3,2.62,1.62,197.19,"sorting,algorithm,explanation"
465,stoichiometry titration problem with example explain,chemistry,6,1.42,1.88,133.15,"stoichiometry,titration,problem,with,example,explain"
466,linear algebra matrix detailed explanation,math,5,2.81,1.63,196.74,"linear,algebra,matrix,detailed,explanation"
467,acid base titration,chemistry,3,2.42,0.71,161.12,"acid,base,titration"
468,organic reaction mechanism,chemistry,3,1.54,1.14,128.52,"organic,reaction,mechanism"
469,geometry theorems proof explain,math,4,1.13,1.89,119.31,"geometry,theorems,proof,explain"
470,calculus integral problem,math,3,1.66,1.97,157.78,"calculus,integral,problem"
471,recursion tree problem solve step by step,cs,7,1.63,2.16,164.47,"recursion,tree,problem,solve,step"
472,optics refraction question explain,physics,4,3.04,1.09,198.17,"optics,refraction,question,explain"
473,calculus integral problem explain,math,4,1.63,1.96,149.64,"calculus,integral,problem,explain"
474,geometry theorems proof detailed explanation detailed explanation,math,7,2.61,1.36,194.77,"geometry,theorems,proof,detailed,explanation"
475,dynamic programming example,cs,3,0.8,0.91,78.0,"dynamic,programming,example"
476,chemical bonding explanation solve step by step,chemistry,7,0.65,1.64,106.1,"chemical,bonding,explanation,solve,step"
477,mechanics motion problem explain,physics,4,0.76,2.15,111.5,"mechanics,motion,problem,explain"
478,dynamic programming example,cs,3,0.58,0.84,67.64,"dynamic,programming,example"
479,differential equations solve,math,3,1.43,1.29,123.08,"differential,equations,solve"
480,organic reaction mechanism with example explain,chemistry,6,3.16,1.24,213.72,"organic,reaction,mechanism,with,example,explain"
481,periodic trends question solve step by step,chemistry,7,3.01,1.63,210.12,"periodic,trends,question,solve,step"
482,calculus integral problem solve step by step with example,math,9,3.41,1.68,243.17,"calculus,integral,problem,solve,step,with,example"
483,data structures stack queue detailed explanation,cs,6,2.56,2.37,208.85,"data,structures,stack,queue,detailed,explanation"
484,electric circuits problem explain,physics,4,3.21,1.93,227.14,"electric,circuits,problem,explain"
485,mechanics motion problem explain,physics,4,3.45,2.44,255.47,"mechanics,motion,problem,explain"
486,mechanics motion problem explain,physics,4,2.55,0.9,179.95,"mechanics,motion,problem,explain"
487,quantum basics question solve step by step,physics,7,2.68,2.11,201.94,"quantum,basics,question,solve,step"
488,data structures stack queue detailed explanation,cs,6,2.06,2.33,171.85,"data,structures,stack,queue,detailed,explanation"
489,graph theory shortest path explain,cs,5,2.2,1.67,182.7,"graph,theory,shortest,path,explain"
490,calculus integral problem show steps show steps,math,7,3.1,2.26,241.76,"calculus,integral,problem,show,steps"
491,periodic trends question with example show steps,chemistry,7,0.61,1.05,78.38,"periodic,trends,question,with,example,show,steps"
492,graph theory shortest path detailed explanation,cs,6,1.49,0.98,131.01,"graph,theory,shortest,path,detailed,explanation"
493,chemical bonding explanation,chemistry,3,1.51,2.09,139.52,"chemical,bonding,explanation"
494,graph theory shortest path,cs,4,0.9,2.45,120.86,"graph,theory,shortest,path"
495,chemical bonding explanation with example show steps,chemistry,7,1.06,0.92,111.88,"chemical,bonding,explanation,with,example,show,steps"
496,data structures stack queue detailed explanation,cs,6,2.05,0.82,147.12,"data,structures,stack,queue,detailed,explanation"
497,dynamic programming example detailed explanation explain,cs,6,1.08,2.17,136.14,"dynamic,programming,example,detailed,explanation,explain"
498,mechanics motion problem explain,physics,4,1.58,0.9,122.37,"mechanics,motion,problem,explain"
499,data structures stack queue show steps,cs,6,0.87,0.56,84.15,"data,structures,stack,queue,show,steps"
500,dynamic programming example with example,cs,5,1.55,0.83,131.99,"dynamic,programming,example,with"
501,geometry theorems proof,math,3,1.66,0.83,127.05,"geometry,theorems,proof"
502,optics refraction question solve step by step solve step by step,physics,11,2.45,1.53,202.39,"optics,refraction,question,solve,step"
503,differential equations solve,math,3,2.44,1.7,172.17,"differential,equations,solve"
504,acid base titration show steps,chemistry,5,2.63,1.05,190.41,"acid,base,titration,show,steps"
505,periodic trends question solve step by step,chemistry,7,1.41,1.54,137.77,"periodic,trends,question,solve,step"
506,calculus integral problem detailed explanation detailed explanation,math,7,3.02,1.62,219.28,"calculus,integral,problem,detailed,explanation"
507,chemical bonding explanation explain explain,chemistry,5,3.47,1.78,246.33,"chemical,bonding,explanation,explain"
508,chemical bonding explanation,chemistry,3,0.95,2.03,122.09,"chemical,bonding,explanation"
509,sorting algorithm explanation explain explain,cs,5,1.99,1.09,159.44,"sorting,algorithm,explanation,explain"
510,recursion tree problem explain show steps,cs,6,2.22,0.88,165.13,"recursion,tree,problem,explain,show,steps"
511,quantum basics question show steps detailed explanation,physics,7,2.52,1.51,197.11,"quantum,basics,question,show,steps,detailed,explanation"
512,thermodynamics law application,physics,3,1.91,1.98,165.6,"thermodynamics,law,application"
513,thermodynamics law application explain solve step by step,physics,8,2.73,1.11,200.46,"thermodynamics,law,application,explain,solve,step"
514,chemical bonding explanation with example,chemistry,5,1.89,0.74,130.37,"chemical,bonding,explanation,with,example"
515,differential equations solve,math,3,2.0,2.23,168.23,"differential,equations,solve"
516,periodic trends question,chemistry,3,3.11,0.8,207.35,"periodic,trends,question"
517,periodic trends question detailed explanation detailed explanation,chemistry,7,0.93,2.22,118.51,"periodic,trends,question,detailed,explanation"
518,differential equations solve show steps,math,5,1.03,1.77,106.99,"differential,equations,solve,show,steps"
519,stoichiometry titration problem,chemistry,3,2.23,0.82,159.6,"stoichiometry,titration,problem"
520,algebra equation solving with example with example,math,7,1.79,1.45,142.59,"algebra,equation,solving,with,example"
521,thermodynamics law application,physics,3,3.18,2.01,225.82,"thermodynamics,law,application"
522,calculus integral problem show steps solve step by step,math,9,3.13,1.12,208.95,"calculus,integral,problem,show,steps,solve,step"
523,stoichiometry titration problem,chemistry,3,2.97,1.1,192.32,"stoichiometry,titration,problem"
524,periodic trends question detailed explanation solve step by step,chemistry,9,3.2,1.22,216.17,"periodic,trends,question,detailed,explanation,solve,step"
525,graph theory shortest path,cs,4,1.17,2.47,130.12,"graph,theory,shortest,path"
526,linear algebra matrix explain solve step by step,math,8,2.45,0.57,177.43,"linear,algebra,matrix,explain,solve,step"
527,acid base titration explain detailed explanation,chemistry,6,2.49,1.81,183.09,"acid,base,titration,explain,detailed,explanation"
528,differential equations solve solve step by step,math,7,2.14,1.45,163.06,"differential,equations,solve,step"
529,geometry theorems proof show steps,math,5,2.49,1.04,177.41,"geometry,theorems,proof,show,steps"
530,electric circuits problem,physics,3,2.03,1.74,157.95,"electric,circuits,problem"
531,differential equations solve,math,3,2.33,2.06,190.33,"differential,equations,solve"
532,thermodynamics law application with example explain,physics,6,2.14,2.32,189.16,"thermodynamics,law,application,with,example,explain"
533,sorting algorithm explanation,cs,3,0.51,1.84,96.44,"sorting,algorithm,explanation"
534,dynamic programming example,cs,3,2.84,0.65,185.47,"dynamic,programming,example"
535,stoichiometry titration problem detailed explanation,chemistry,5,1.39,1.43,120.1,"stoichiometry,titration,problem,detailed,explanation"
536,mechanics motion problem solve step by step,physics,7,2.53,1.35,179.82,"mechanics,motion,problem,solve,step"
537,calculus integral problem,math,3,2.49,0.84,164.45,"calculus,integral,problem"
538,data structures stack queue detailed explanation,cs,6,0.78,2.13,107.26,"data,structures,stack,queue,detailed,explanation"
539,recursion tree problem solve step by step,cs,7,1.66,2.2,167.0,"recursion,tree,problem,solve,step"
540,mechanics motion problem,physics,3,2.59,0.62,176.75,"mechanics,motion,problem"
541,mechanics motion problem detailed explanation,physics,5,1.95,1.64,159.06,"mechanics,motion,problem,detailed,explanation"
542,sorting algorithm explanation explain show steps,cs,6,3.02,2.45,224.61,"sorting,algorithm,explanation,explain,show,steps"
543,graph theory shortest path with example,cs,6,0.69,1.81,92.95,"graph,theory,shortest,path,with,example"
544,thermodynamics law application with example show steps,physics,7,0.79,1.82,104.87,"thermodynamics,law,application,with,example,show,steps"
545,periodic trends question,chemistry,3,3.02,1.62,219.16,"periodic,trends,question"
546,calculus integral problem detailed explanation with example,math,7,1.91,1.49,152.61,"calculus,integral,problem,detailed,explanation,with,example"
547,sorting algorithm explanation,cs,3,1.49,1.06,121.84,"sorting,algorithm,explanation"
548,recursion tree problem,cs,3,0.74,1.39,92.26,"recursion,tree,problem"
549,differential equations solve solve step by step,math,7,3.44,1.99,236.16,"differential,equations,solve,step"
550,recursion tree problem,cs,3,2.17,0.5,136.32,"recursion,tree,problem"
551,acid base titration solve step by step show steps,chemistry,9,3.35,1.23,221.19,"acid,base,titration,solve,step,show,steps"
552,electric circuits problem with example,physics,5,2.36,1.45,180.14,"electric,circuits,problem,with,example"
553,graph theory shortest path,cs,4,2.78,0.94,182.63,"graph,theory,shortest,path"
554,acid base titration solve step by step explain,chemistry,8,3.19,1.48,231.54,"acid,base,titration,solve,step,explain"
555,graph theory shortest path show steps,cs,6,1.06,2.36,130.06,"graph,theory,shortest,path,show,steps"
556,dynamic programming example solve step by step show steps,cs,9,0.64,1.77,108.84,"dynamic,programming,example,solve,step,show,steps"
557,differential equations solve show steps,math,5,3.37,0.77,213.88,"differential,equations,solve,show,steps"
558,linear algebra matrix detailed explanation,math,5,1.95,1.52,166.32,"linear,algebra,matrix,detailed,explanation"
559,quantum basics question,physics,3,2.69,0.76,173.45,"quantum,basics,question"
560,acid base titration with example,chemistry,5,2.33,1.89,179.26,"acid,base,titration,with,example"
561,sorting algorithm explanation with example,cs,5,0.9,1.33,105.6,"sorting,algorithm,explanation,with,example"
562,acid base titration show steps,chemistry,5,3.31,1.77,224.92,"acid,base,titration,show,steps"
563,chemical bonding explanation explain show steps,chemistry,6,3.43,0.86,221.55,"chemical,bonding,explanation,explain,show,steps"
564,organic reaction mechanism with example,chemistry,5,2.25,2.39,194.5,"organic,reaction,mechanism,with,example"
565,periodic trends question,chemistry,3,2.07,0.55,133.41,"periodic,trends,question"
566,algebra equation solving show steps,math,5,0.98,1.07,95.41,"algebra,equation,solving,show,steps"
567,geometry theorems proof,math,3,2.76,0.56,181.48,"geometry,theorems,proof"
568,linear algebra matrix show steps detailed explanation,math,7,2.73,1.62,197.65,"linear,algebra,matrix,show,steps,detailed,explanation"
569,organic reaction mechanism solve step by step,chemistry,7,3.37,2.45,247.75,"organic,reaction,mechanism,solve,step"
570,calculus integral problem solve step by step show steps,math,9,2.84,2.24,231.4,"calculus,integral,problem,solve,step,show,steps"
571,acid base titration show steps explain,chemistry,6,2.67,0.89,182.28,"acid,base,titration,show,steps,explain"
572,algebra equation solving,math,3,2.71,0.74,167.11,"algebra,equation,solving"
573,acid base titration explain,chemistry,4,2.25,1.01,157.31,"acid,base,titration,explain"
574,mechanics motion problem,physics,3,3.29,1.69,229.77,"mechanics,motion,problem"
575,periodic trends question with example explain,chemistry,6,2.62,1.55,203.14,"periodic,trends,question,with,example,explain"
576,linear algebra matrix,math,3,1.75,1.57,136.74,"linear,algebra,matrix"
577,optics refraction question solve step by step solve step by step,physics,11,1.16,2.01,140.81,"optics,refraction,question,solve,step"
578,calculus integral problem solve step by step solve step by step,math,11,2.43,2.34,205.18,"calculus,integral,problem,solve,step"
579,geometry theorems proof detailed explanation,math,5,3.33,1.27,222.7,"geometry,theorems,proof,detailed,explanation"
